iter	Passed	Remaining
755	5671	69349
756	5680	69356
757	5687	69348
758	5695	69340
759	5701	69320
760	5708	69310
761	5716	69298
762	5723	69287
763	5731	69293
764	5739	69288
765	5747	69288
766	5755	69281
767	5762	69273
768	5770	69267
769	5775	69232
770	5782	69215
771	5789	69207
772	5797	69199
773	5803	69182
774	5812	69185
775	5820	69186
776	5827	69172
777	5833	69153
778	5841	69147
779	5848	69136
780	5855	69121
781	5863	69114
782	5871	69114
783	5878	69100
784	5885	69091
785	5892	69075
786	5900	69069
787	5903	69015
788	5910	68997
789	5917	68985
790	5925	68981
791	5933	68985
792	5941	68979
793	5948	68964
794	5956	68964
795	5963	68957
796	5972	68968
797	5980	68962
798	5989	68968
799	5997	68965
800	6004	68962
801	6012	68961
802	6020	68953
803	6027	68945
804	6036	68948
805	6045	68958
806	6053	68953
807	6060	68950
808	6068	68938
809	6076	68943
810	6084	68937
811	6091	68923
812	6099	68927
813	6107	68928
814	6116	68928
815	6123	68918
816	6130	68908
817	6137	68894
818	6145	68893
819	6152	68883
820	6160	68875
821	6167	68867
822	6175	68856
823	6183	68858
824	6192	68868
825	6199	68859
826	6208	68866
827	6214	68842
828	6221	68821
829	6228	68808
830	6236	68810
831	6244	68806
832	6251	68791
833	6258	68783
834	6265	68767
835	6273	68765
836	6281	68762
837	6288	68757
838	6295	68742
839	6298	68685
840	6305	68668
841	6312	68656
842	6319	68649
843	6327	68638
844	6333	68622
845	6340	68605
846	6347	68596
847	6355	68587
848	6361	68566
849	6368	68550
850	6372	68511
851	6378	68490
852	6385	68475
853	6392	68463
854	6400	68460
855	6407	68448
856	6414	68433
857	6422	68428
858	6429	68422
859	6437	68416
860	6444	68409
861	6452	68400
862	6460	68395
863	6467	68385
864	6473	68368
865	6482	68368
866	6489	68363
867	6498	68363
868	6505	68357
869	6512	68346
870	6519	68333
871	6527	68329
872	6535	68324
873	6542	68314
874	6550	68309
875	6558	68308
876	6568	68325
877	6574	68306
878	6580	68286
879	6587	68271
880	6593	68250
881	6600	68233
882	6607	68219
883	6614	68205
884	6620	68189
885	6627	68174
886	6633	68154
887	6640	68143
888	6647	68126
889	6653	68108
890	6660	68096
891	6666	68074
892	6673	68055
893	6679	68035
894	6686	68019
895	6693	68008
896	6699	67990
897	6706	67975
898	6713	67967
899	6720	67951
900	6726	67932
901	6733	67919
902	6740	67904
903	6747	67889
904	6753	67874
905	6760	67857
906	6766	67840
907	6773	67826
908	6779	67806
909	6786	67792
910	6793	67780
911	6800	67764
912	6807	67750
913	6814	67740
914	6821	67725
915	6825	67686
916	6831	67671
917	6838	67656
918	6845	67646
919	6852	67629
920	6859	67614
921	6865	67601
922	6872	67586
923	6879	67574
924	6886	67558
925	6893	67553
926	6900	67538
927	6907	67525
928	6913	67505
929	6920	67489
930	6926	67475
931	6933	67462
932	6940	67453
933	6948	67446
934	6956	67441
935	6963	67431
936	6968	67406
937	6976	67403
938	6983	67392
939	6990	67376
940	6998	67370
941	7006	67372
942	7013	67362
943	7020	67346
944	7027	67337
945	7034	67329
946	7042	67319
947	7049	67307
948	7055	67292
949	7061	67270
950	7068	67258
951	7075	67250
952	7082	67234
953	7088	67218
954	7095	67203
955	7102	67195
956	7110	67188
957	7117	67180
958	7125	67176
959	7132	67164
960	7139	67156
961	7146	67145
962	7154	67141
963	7163	67142
964	7170	67131
965	7176	67115
966	7184	67113
967	7192	67108
968	7201	67119
969	7211	67136
970	7221	67150
971	7228	67136
972	7235	67131
973	7243	67124
974	7251	67121
975	7259	67118
976	7266	67106
977	7274	67105
978	7281	67098
979	7289	67093
980	7296	67086
981	7304	67077
982	7312	67077
983	7319	67068
984	7326	67056
985	7333	67045
986	7341	67043
987	7349	67037
988	7356	67023
989	7362	67007
990	7369	66997
991	7376	66979
992	7383	66976
993	7391	66970
994	7398	66956
995	7404	66939
996	7411	66924
997	7418	66911
998	7425	66900
999	7431	66884
1000	7438	66873
1001	7445	66861
1002	7452	66853
1003	7460	66842
1004	7466	66830
1005	7469	66778
1006	7475	66761
1007	7482	66747
1008	7489	66736
1009	7495	66721
1010	7502	66709
1011	7509	66695
1012	7516	66683
1013	7523	66671
1014	7530	66660
1015	7536	66645
1016	7545	66648
1017	7552	66637
1018	7559	66625
1019	7566	66612
1020	7572	66598
1021	7580	66589
1022	7585	66563
1023	7592	66554
1024	7601	66555
1025	7608	66544
1026	7616	66543
1027	7623	66536
1028	7631	66532
1029	7639	66531
1030	7646	66522
1031	7654	66512
1032	7661	66503
1033	7668	66497
1034	7676	66488
1035	7684	66487
1036	7691	66481
1037	7699	66479
1038	7707	66477
1039	7714	66466
1040	7719	66434
1041	7726	66420
1042	7733	66411
1043	7740	66405
1044	7749	66405
1045	7757	66408
1046	7798	66684
1047	7804	66666
1048	7811	66653
1049	7820	66657
1050	7827	66652
1051	7836	66653
1052	7843	66642
1053	7851	66644
1054	7858	66632
1055	7866	66629
1056	7870	66590
1057	7878	66589
1058	7886	66582
1059	7895	66586
1060	7903	66586
1061	7910	66572
1062	7917	66566
1063	7925	66559
1064	7932	66547
1065	7939	66539
1066	7947	66533
1067	7953	66519
1068	7960	66509
1069	7969	66511
1070	7977	66508
1071	7984	66501
1072	7992	66491
1073	7999	66486
1074	8007	66484
1075	8015	66476
1076	8023	66472
1077	8030	66467
1078	8038	66462
1079	8045	66445
1080	8052	66437
1081	8055	66397
1082	8062	66380
1083	8069	66369
1084	8075	66354
1085	8082	66343
1086	8090	66337
1087	8098	66338
1088	8105	66328
1089	8113	66321
1090	8121	66321
1091	8128	66311
1092	8136	66303
1093	8144	66301
1094	8152	66297
1095	8159	66291
1096	8167	66281
1097	8176	66289
1098	8185	66297
1099	8195	66305
1100	8202	66297
1101	8209	66290
1102	8217	66285
1103	8224	66272
1104	8231	66258
1105	8238	66252
1106	8245	66243
1107	8253	66235
1108	8261	66231
1109	8268	66221
1110	8275	66210
1111	8282	66203
1112	8290	66195
1113	8299	66202
1114	8306	66194
1115	8315	66196
1116	8322	66186
1117	8330	66184
1118	8337	66168
1119	8343	66151
1120	8346	66108
1121	8353	66097
1122	8360	66085
1123	8366	66068
1124	8372	66050
1125	8379	66037
1126	8386	66028
1127	8393	66015
1128	8399	65995
1129	8407	65997
1130	8415	65990
1131	8422	65981
1132	8429	65969
1133	8437	65965
1134	8444	65953
1135	8451	65944
1136	8458	65931
1137	8464	65917
1138	8471	65907
1139	8479	65899
1140	8486	65888
1141	8493	65881
1142	8501	65880
